"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"139",9,"Michael Penix Jr.",ATL,"47.1","775","3","0","0","0","7","11","1"
"140",9,"Rashod Bateman",BAL,"174.6","0","0","45","756","9","0","0","0"
"141",10,"Hunter Henry",NE,"145.4","0","0","66","674","2","0","0","0"
"142",10,"Ray Davis",BUF,"116.1","0","0","17","189","3","113","442","3"
"143",10,"Tyler Allgeier",ATL,"106.2","0","0","13","88","0","137","644","3"
"144",10,"Marquise Brown",KC,"18.1","0","0","9","91","0","0","0","0"
"145",10,"Quinshon Judkins",CLE,"0","0","0","0","0","0","0","0","0"
"146",10,"Marvin Mims Jr.",DEN,"129.5","0","0","39","503","6","13","42","0"
"147",10,"Jonnu Smith",PIT,"222.3","0","0","88","884","8","2","-1","0"
"148",10,"Romeo Doubs",GB,"132.1","0","0","46","601","4","0","0","0"
"149",10,"Jaydon Blue",DAL,"0","0","0","0","0","0","0","0","0"
"150",10,"Trey Benson",ARI,"47","0","0","6","59","0","63","291","1"
"151",10,"Adam Thielen",CAR,"139.5","0","0","48","615","5","0","0","0"
"152",10,"Wan'Dale Robinson",NYG,"182.7","0","0","93","699","3","3","18","0"
"153",10,"Kyle Pitts Sr.",ATL,"131.2","0","0","47","602","4","0","0","0"
"154",10,"Geno Smith",LV,"281","4320","21","0","0","0","53","272","2"
"155",10,"Braelon Allen",NYJ,"85.2","0","0","19","148","1","92","334","2"
"156",10,"Denver Broncos",DEN,"179","0","0","0","0","0","0","0","0"
"157",10,"Jayden Higgins",HOU,"0","0","0","0","0","0","0","0","0"
"158",10,"DeMario Douglas",NE,"147.7","0","0","66","621","3","3","16","0"
"159",10,"Isaac Guerendo",SF,"94.2","0","0","15","152","0","84","420","4"
"160",10,"Tre' Harris",LAC,"0","0","0","0","0","0","0","0","0"
"161",10,"Zach Ertz",WAS,"177.4","0","0","66","654","7","0","0","0"
"162",10,"Rico Dowdle",CAR,"197.8","0","0","39","249","3","235","1079","2"
"163",10,"Kyle Williams",NE,"0","0","0","0","0","0","0","0","0"
"164",10,"Dylan Sampson",CLE,"0","0","0","0","0","0","0","0","0"
"165",10,"Xavier Legette",CAR,"125.1","0","0","49","497","4","6","24","0"
"166",10,"Jaylen Wright",MIA,"26.7","0","0","3","8","0","68","249","0"
"167",10,"Cameron Ward",TEN,"0","0","0","0","0","0","0","0","0"
"168",10,"Brenton Strange",JAC,"91.1","0","0","40","411","2","0","0","0"
"169",10,"Sam Darnold",SEA,"320","4319","35","0","0","0","67","212","1"
"170",10,"Quentin Johnston",LAC,"174.7","0","0","55","711","8","3","6","0"
"171",10,"Bhayshul Tuten",JAC,"0","0","0","0","0","0","0","0","0"
"172",10,"Philadelphia Eagles",PHI,"135","0","0","0","0","0","0","0","0"
"173",10,"Jalen McMillan",TB,"135.4","0","0","37","461","8","4","43","0"
"174",10,"Roschon Johnson",CHI,"77.4","0","0","16","104","0","55","150","6"
"175",10,"Pittsburgh Steelers",PIT,"146","0","0","0","0","0","0","0","0"
"176",10,"Baltimore Ravens",BAL,"120","0","0","0","0","0","0","0","0"
"177",10,"Nick Chubb",HOU,"63.3","0","0","5","31","1","102","332","3"
"178",11,"Minnesota Vikings",MIN,"162","0","0","0","0","0","0","0","0"
"179",11,"DeAndre Hopkins",BAL,"147","0","0","56","610","5","0","0","0"
"180",11,"Keenan Allen",LAC,"185.4","0","0","70","744","7","0","0","0"
"181",11,"Joshua Palmer",BUF,"107.4","0","0","39","584","1","0","0","0"
"182",11,"Chig Okonkwo",TEN,"113.6","0","0","52","479","2","1","17","0"
"183",11,"Houston Texans",HOU,"139","0","0","0","0","0","0","0","0"
"184",11,"Pat Freiermuth",PIT,"168.3","0","0","65","653","7","0","0","0"
"185",11,"Buffalo Bills",BUF,"133","0","0","0","0","0","0","0","0"
"186",11,"Brandon Aubrey",DAL,"192","0","0","0","0","0","0","0","0"
"187",11,"Jake Bates",DET,"161","0","0","0","0","0","0","0","0"
"188",11,"Mike Gesicki",CIN,"141.5","0","0","65","665","2","0","0","0"
"189",11,"Kansas City Chiefs",KC,"106","0","0","0","0","0","0","0","0"
"190",11,"Blake Corum",LAR,"33.5","0","0","7","58","0","58","207","0"
"191",11,"Jack Bech",LV,"0","0","0","0","0","0","0","0","0"
"192",11,"Detroit Lions",DET,"123","0","0","0","0","0","0","0","0"
"193",11,"Jalen Coker",CAR,"92.6","0","0","32","478","2","0","0","0"
"194",11,"Aaron Rodgers",PIT,"267.6","3897","28","0","0","0","22","107","0"
"195",11,"Cameron Dicker",LAC,"179","0","0","0","0","0","0","0","0"
"196",11,"Cade Otton",TB,"140.6","0","0","59","600","4","1","-4","0"
"197",11,"Michael Wilson",ARI,"124.5","0","0","47","548","4","1","7","0"
"198",11,"Los Angeles Rams",LAR,"118","0","0","0","0","0","0","0","0"
"199",11,"MarShawn Lloyd",GB,"2.8","0","0","1","3","0","6","15","0"
"200",11,"Ka'imi Fairbairn",HOU,"172","0","0","0","0","0","0","0","0"
"201",11,"Isaiah Likely",BAL,"123.7","0","0","42","477","6","0","0","0"
"202",11,"Chris Boswell",PIT,"191","0","0","0","0","0","0","0","0"
